site_id,longitude,latitude,EPSG
1,4168732.80496276,3104426.77553068,3035
2,4087650.57018744,2961512.64643172,3035
3,4099068.97168751,2960743.34549638,3035
4,4086075.88863687,2971231.42383883,3035
5,4125602.67683004,3002248.86496112,3035
6,4067727.62306665,2944442.08718081,3035
7,4085803.5692707,2937882.35280609,3035
8,4126336.67260816,2902308.35596744,3035
9,4063237.3529984,2975730.63019163,3035
10,4152851.79492515,2965809.24606465,3035
11,4151617.48768086,2935128.1707088,3035
12,4123966.41328838,2978935.60580658,3035
13,4145274.44917514,2989873.55579274,3035
14,4163401.88248636,2929167.72508648,3035
15,4145610.01191452,2952227.96136384,3035
16,4171488.3882372,2932625.44271755,3035
17,4200880.32512375,2998238.96466824,3035
18,4189373.32922963,2995626.42937616,3035
19,4191765.44569068,2924984.83489399,3035
20,4181657.1556471,2897392.88370805,3035
