Raumeinheit,2018,2019,2020,2021,2022,Status
Ahrweiler,0,0,0,0,0,Stable
Aichach-Friedberg,0,0,0,0,0,Stable
Alb-Donau-Kreis,1,0,0,0,0,Volatile
Altenburger Land,0,0,0,0,0,Stable
Altenkirchen (Westerwald),0,0,0,0,0,Stable
Altmarkkreis Salzwedel,0,0,0,0,0,Stable
Altötting,0,0,0,0,0,Stable
Alzey-Worms,0,0,0,0,0,Stable
Amberg,0,0,0,0,0,Stable
Amberg-Sulzbach,0,0,0,0,0,Stable
Ammerland,0,0,0,0,0,Stable
Anhalt-Bitterfeld,0,0,0,0,0,Stable
Ansbach,0,0,0,0,0,Stable
"Ansbach, Stadt",0,0,0,0,0,Stable
Aschaffenburg,0,0,0,0,0,Stable
"Aschaffenburg, Stadt",0,0,0,0,0,Stable
Augsburg,0,0,0,0,0,Stable
"Augsburg, Stadt",0,0,0,0,0,Stable
Aurich,0,0,0,0,0,Stable
Bad Dürkheim,0,0,0,0,0,Stable
Bad Kissingen,0,0,0,0,0,Stable
Bad Kreuznach,0,0,0,0,0,Stable
Bad Tölz-Wolfratshausen,0,0,0,0,0,Stable
"Baden-Baden, Stadtkreis",0,0,0,0,0,Stable
Bamberg,0,0,0,0,0,Stable
"Bamberg, Stadt",0,0,0,0,0,Stable
Barnim,0,0,0,0,0,Stable
Bautzen,0,0,0,0,0,Stable
Bayreuth,0,0,0,0,0,Stable
"Bayreuth, Stadt",0,0,0,0,0,Stable
Berchtesgadener Land,0,0,0,0,0,Stable
Bergstraße,0,0,0,0,0,Stable
"Berlin, Stadt",0,0,0,0,0,Stable
Bernkastel-Wittlich,0,0,0,0,0,Stable
Biberach,0,0,0,0,0,Stable
"Bielefeld, Stadt",0,0,0,0,0,Stable
Birkenfeld,0,0,0,0,0,Stable
"Bochum, Stadt",0,0,0,0,0,Stable
Bodenseekreis,0,0,0,0,0,Stable
"Bonn, Stadt",0,0,0,0,0,Stable
Borken,0,0,0,0,0,Stable
"Bottrop, Stadt",0,0,0,0,0,Stable
"Brandenburg an der Havel, Stadt",0,0,0,0,0,Stable
"Braunschweig, Stadt",0,0,0,0,0,Stable
Breisgau-Hochschwarzwald,0,0,0,0,0,Stable
"Bremen, Stadt",0,0,0,0,0,Stable
"Bremerhaven, Stadt",0,0,0,0,0,Stable
Burgenlandkreis,1,0,0,0,0,Volatile
Böblingen,0,0,0,0,0,Stable
Börde,0,0,0,0,0,Stable
Calw,0,0,0,0,0,Stable
Celle,0,0,0,0,0,Stable
Cham,0,0,0,0,0,Stable
"Chemnitz, Stadt",0,0,0,0,0,Stable
Cloppenburg,0,0,0,0,0,Stable
Coburg,0,0,0,0,0,Stable
"Coburg, Stadt",0,0,0,0,0,Stable
Cochem-Zell,0,0,0,0,0,Stable
Coesfeld,0,0,0,0,0,Stable
"Cottbus, Stadt",0,0,0,0,0,Stable
Cuxhaven,0,0,0,0,0,Stable
Dachau,0,0,0,0,0,Stable
Dahme-Spreewald,0,0,0,0,0,Stable
"Darmstadt, Wissenschaftsstadt",0,0,0,0,0,Stable
Darmstadt-Dieburg,0,0,0,0,0,Stable
Deggendorf,0,0,0,0,0,Stable
"Delmenhorst, Stadt",0,0,0,0,0,Stable
"Dessau-Roßlau, Stadt",0,0,0,0,0,Stable
Diepholz,0,0,0,0,0,Stable
Dillingen a.d.Donau,0,0,0,0,0,Stable
Dingolfing-Landau,0,0,0,0,0,Stable
Dithmarschen,0,0,0,0,0,Stable
Donau-Ries,1,0,0,0,0,Volatile
Donnersbergkreis,1,0,0,0,0,Volatile
"Dortmund, Stadt",0,0,0,0,0,Stable
"Dresden, Stadt",0,0,0,0,0,Stable
"Duisburg, Stadt",0,0,0,0,0,Stable
Düren,0,0,0,0,0,Stable
"Düsseldorf, Stadt",0,0,0,0,0,Stable
Ebersberg,0,0,0,0,0,Stable
Eichsfeld,1,0,1,0,0,Volatile
Eichstätt,0,0,0,0,0,Stable
Eifelkreis Bitburg-Prüm,0,0,0,0,0,Stable
Elbe-Elster,0,0,0,0,0,Stable
"Emden, Stadt",0,0,0,0,0,Stable
Emmendingen,0,0,0,0,0,Stable
Emsland,0,0,0,0,0,Stable
Ennepe-Ruhr-Kreis,0,0,0,0,0,Stable
Enzkreis,0,0,0,0,0,Stable
Erding,0,0,0,0,0,Stable
"Erfurt, Stadt",0,0,0,0,0,Stable
Erlangen,0,0,0,0,0,Stable
Erlangen-Höchstadt,0,0,0,0,0,Stable
Erzgebirgskreis,0,0,0,0,0,Stable
"Essen, Stadt",0,0,0,0,0,Stable
Esslingen,0,0,0,0,0,Stable
Euskirchen,0,0,0,0,0,Stable
"Flensburg, Stadt",0,0,0,0,0,Stable
Forchheim,0,0,0,0,0,Stable
"Frankenthal (Pfalz), kreisfreie Stadt",0,0,0,0,0,Stable
"Frankfurt (Oder), Stadt",0,0,0,0,0,Stable
"Frankfurt am Main, Stadt",0,0,0,0,0,Stable
