epsilon,objective_type,cap_air_hp_Metropolitan_mw,cap_air_hp_Suburban_mw,cap_air_hp_Rural-Dense_mw,cap_air_hp_Rural-Sparse_mw,cap_air_hp_Industrial_mw,cap_dh_large_hp_Metropolitan_mw,cap_dh_large_hp_Suburban_mw,cap_dh_large_hp_Rural-Dense_mw,cap_dh_large_hp_Rural-Sparse_mw,cap_dh_large_hp_Industrial_mw,cap_gas_boiler_Metropolitan_mw,cap_gas_boiler_Suburban_mw,cap_gas_boiler_Rural-Dense_mw,cap_gas_boiler_Rural-Sparse_mw,cap_gas_boiler_Industrial_mw,cap_h2_boiler_Metropolitan_mw,cap_h2_boiler_Suburban_mw,cap_h2_boiler_Rural-Dense_mw,cap_h2_boiler_Rural-Sparse_mw,cap_h2_boiler_Industrial_mw,cap_biomass_boiler_Metropolitan_mw,cap_biomass_boiler_Suburban_mw,cap_biomass_boiler_Rural-Dense_mw,cap_biomass_boiler_Rural-Sparse_mw,cap_biomass_boiler_Industrial_mw,cap_tes_Metropolitan_mwh,cap_tes_Suburban_mwh,cap_tes_Rural-Dense_mwh,cap_tes_Rural-Sparse_mwh,cap_tes_Industrial_mwh,gen_air_hp_Metropolitan_twh,gen_air_hp_Suburban_twh,gen_air_hp_Rural-Dense_twh,gen_air_hp_Rural-Sparse_twh,gen_air_hp_Industrial_twh,gen_dh_large_hp_Metropolitan_twh,gen_dh_large_hp_Suburban_twh,gen_dh_large_hp_Rural-Dense_twh,gen_dh_large_hp_Rural-Sparse_twh,gen_dh_large_hp_Industrial_twh,gen_gas_boiler_Metropolitan_twh,gen_gas_boiler_Suburban_twh,gen_gas_boiler_Rural-Dense_twh,gen_gas_boiler_Rural-Sparse_twh,gen_gas_boiler_Industrial_twh,gen_h2_boiler_Metropolitan_twh,gen_h2_boiler_Suburban_twh,gen_h2_boiler_Rural-Dense_twh,gen_h2_boiler_Rural-Sparse_twh,gen_h2_boiler_Industrial_twh,gen_biomass_boiler_Metropolitan_twh,gen_biomass_boiler_Suburban_twh,gen_biomass_boiler_Rural-Dense_twh,gen_biomass_boiler_Rural-Sparse_twh,gen_biomass_boiler_Industrial_twh,co2_direct_Metropolitan_mt,co2_direct_Suburban_mt,co2_direct_Rural-Dense_mt,co2_direct_Rural-Sparse_mt,co2_direct_Industrial_mt,cost_Metropolitan_billion,cost_Suburban_billion,cost_Rural-Dense_billion,cost_Rural-Sparse_billion,cost_Industrial_billion
0.0,cost_optimal_exogenous,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,10485.444014049339,757.1736372652908,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,342.2836624834578,-0.0,-0.0,-0.0,69407.2893378732,13767.67983475309,55217.03206581829,28677.513314215204,20116.14756740115,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,71.41658546148813,5.118774223008078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1183971144386484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843292350700416,0.5316938863898514,2.227362085928651,1.1568025930596613,0.8114515165024959
0.0,cost_optimal,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,10485.444014049339,795.3500731265553,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,286.5563061095876,-0.0,-0.0,-0.0,69407.2893378732,14568.55093909332,55217.03206581829,28677.513314215204,20116.14756740115,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,71.41658546148813,5.378161769787936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7031170919292133,0.513029604988845,2.1213098336063245,1.0967160957494408,0.7587661235320088
0.05,max_acceptance,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6256.0538321243575,10485.444014049339,786.744039891873,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,298.58895415346836,-0.0,-0.0,-0.0,69407.2893378732,14412.19009269669,55217.03206581829,28677.513314215204,20092.357571593824,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860207106206225,71.41658546148813,5.321620131436081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.633029462543612,0.5014923076005003,2.068283707445161,1.066672847094331,0.7324327573626515
0.05,min_acceptance,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6256.0538321243575,10485.444014049339,786.744039891873,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,298.58895415346836,-0.0,-0.0,-0.0,69407.2893378732,14412.19009269669,55217.03206581829,28677.513314215204,20092.357571593824,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860207106206225,71.41658546148813,5.321620131436081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.633029462543612,0.5014260779016095,2.068283707445161,1.066672847094331,0.7324327573626515
0.1,max_acceptance,11097.804990333225,2783.77120032453,17170.573346526417,8921.113654908075,6276.012379139011,10487.627159867634,786.7440398918735,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,298.58895415346853,-0.0,-0.0,-0.0,69325.20607034824,14412.190092696654,55217.03206581829,28549.44984659344,19341.943769508922,97.2167717153191,24.38583571484292,134.1177416997899,69.653791740724,48.851126674762256,71.41555892157434,5.321620131436082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56298300188438,0.49060431185474845,2.0152575812839975,1.0366769555701403,0.7062976557972516
0.1,min_acceptance,11097.804990333225,2783.77120032453,17170.573346526417,8921.113654908075,6276.012379139011,10487.627159867634,786.7440398918735,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,298.58895415346853,-0.0,-0.0,-0.0,69325.20607034824,14412.190092696654,55217.03206581829,28549.44984659344,19341.943769508922,97.2167717153191,24.38583571484292,134.1177416997899,69.653791740724,48.851126674762256,71.41555892157434,5.321620131436082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56298300188438,0.49051600558956077,2.0152575812839975,1.0366769555701403,0.7062976557972516
0.15,max_acceptance,11097.804990333225,2783.77120032453,17227.0945827607,8947.06245119231,6276.012379139011,10556.490675745516,786.7440398918736,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,298.58895415346865,-0.0,-0.0,-0.0,66736.03298390476,14412.190092696632,53091.911647484776,27573.810945380417,19341.943769508922,97.2167717153191,24.38583571484292,134.0919884890357,69.64200431200622,48.851126674762256,71.38468724965799,5.282464976155007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9640634170349373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4939688843654504,0.4797163161089966,1.9629062359030411,1.0068955976813523,0.6798682457386729
0.15,min_acceptance,11097.804990333225,2783.77120032453,17227.0945827607,8947.06245119231,6276.012379139011,10556.490675745516,786.7440398918736,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,298.58895415346893,-0.0,-0.0,-0.0,66736.03298390476,14412.190092696617,53091.911647484776,27573.810945380417,19341.943769508922,97.2167717153191,24.38583571484292,134.0919884890357,69.64200431200622,48.851126674762256,71.38468724965799,5.282464976155007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9640634170349376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4939688843654504,0.4796059332775119,1.9629062359030411,1.0068955976813523,0.6798682457386729
0.2,max_acceptance,11097.804990333225,2783.77120032453,17227.094582760692,8947.062451192314,6789.241614396004,10556.49067574552,886.9909832627437,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,744.0286643760857,-0.0,137.9910830166839,-0.0,-0.0,1844.135265973773,66736.03298390479,17166.08064408567,53091.91164748473,27573.81094538044,-0.0,97.2167717153191,24.38583571484292,134.0919884890358,69.64200431200621,46.46628243223061,71.38468724965807,5.8302079112920175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10832767624253194,0.0,0.44123287628839386,0.0,0.0,2.096127835863194,0.0,0.0,0.0,0.0,0.0,2.4236561713893208,0.4755659292366112,1.909705560986698,0.9767534541599959,0.8099910532790795
0.2,min_acceptance,11097.804990333225,2783.77120032453,17227.094582760692,8947.062451192314,6789.241614396004,10556.49067574552,905.5915386512361,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,214.62454964372887,-0.0,-0.0,-0.0,-0.0,692.392704748489,-0.0,112.372149741119,-0.0,-0.0,1681.1466759576406,66736.03298390479,17486.33826504975,53091.91164748473,27573.81094538044,-0.0,97.2167717153191,24.38583571484292,134.0919884890358,69.64200431200621,46.46628243223061,71.38468724965807,5.919802388744243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05890094344315428,0.0,0.0,0.0,0.0,0.09701940108408828,0.0,0.3537373407514242,0.0,0.0,2.0485351675784833,0.0,0.0,0.0,0.0,0.012932598451649093,2.4236561713893208,0.47668190511073133,1.909705560986698,0.9767534541599959,0.8059435646206402
