utc_timestamp,Biomasse,Wasserkraft,Wind_Offshore,Wind_Onshore,Photovoltaik,Sonstige_Erneuerbare,Kernenergie,Braunkohle,Steinkohle,Erdgas,Pumpspeicher,Sonstige_Konventionelle
2025-01-01 00:00:00+00:00,3763.0,1380.0,2395.5,33520.0,9.5,131.0,,3739.25,2719.0,4327.5,144.25,1871.0
2025-01-01 01:00:00+00:00,3737.0,1343.75,2614.0,33767.0,9.0,131.0,,3265.0,2717.0,4217.75,1.0,1837.25
2025-01-01 02:00:00+00:00,3739.5,1316.25,1684.25,32876.25,9.25,127.75,,3226.5,2639.0,4279.5,97.0,1789.0
2025-01-01 03:00:00+00:00,3714.5,1321.5,1327.75,33113.75,9.0,127.5,,3237.5,2583.25,4335.0,3.25,1770.25
2025-01-01 04:00:00+00:00,3715.75,1298.25,1163.25,33570.75,9.25,129.75,,3223.75,2403.25,4464.0,0.0,1766.0
2025-01-01 05:00:00+00:00,3751.5,1350.5,1037.0,35440.25,10.5,129.5,,3237.0,2268.25,4477.75,16.75,1763.0
2025-01-01 06:00:00+00:00,3783.0,1454.0,1310.0,36089.75,12.5,129.25,,3251.25,1987.75,4427.0,95.0,1761.0
2025-01-01 07:00:00+00:00,3886.75,1411.25,2419.0,35661.5,723.5,128.75,,3241.25,1860.0,4080.75,56.75,1748.5
2025-01-01 08:00:00+00:00,3895.25,1446.5,2093.75,34597.25,4051.75,128.25,,3238.5,1828.25,4009.75,40.5,1757.75
2025-01-01 09:00:00+00:00,3822.0,1431.5,2116.25,36147.0,7913.0,126.75,,3273.25,1844.25,3988.0,26.5,1791.5
2025-01-01 10:00:00+00:00,3830.0,1437.25,1851.0,35918.25,11146.75,124.75,,3265.5,1849.75,3969.5,54.25,1829.0
2025-01-01 11:00:00+00:00,3772.5,1487.5,2145.0,36641.25,12110.5,119.25,,3283.5,1848.75,3646.25,53.75,1826.25
2025-01-01 12:00:00+00:00,3755.25,1489.25,2689.75,37617.0,10659.25,115.25,,3242.0,1849.5,3623.0,140.25,1814.75
2025-01-01 13:00:00+00:00,3762.0,1438.5,3463.5,38592.0,7043.0,124.5,,3291.5,1836.0,3614.0,88.0,1772.75
2025-01-01 14:00:00+00:00,3806.25,1425.75,4613.0,41261.75,2772.75,125.75,,3348.5,1833.75,3590.5,97.0,1796.5
2025-01-01 15:00:00+00:00,3971.0,1461.0,4720.5,41900.0,192.75,128.0,,3395.75,1934.25,3642.5,432.25,1860.25
2025-01-01 16:00:00+00:00,4099.25,1434.0,4809.75,43761.75,19.25,128.0,,3337.25,2326.5,3691.25,393.25,1849.75
2025-01-01 17:00:00+00:00,4131.5,1359.75,3803.25,44199.75,14.5,128.0,,3289.25,2667.75,3698.5,516.0,1810.5
2025-01-01 18:00:00+00:00,4113.5,1428.5,3496.75,43338.5,12.25,128.0,,3308.75,2778.25,3732.0,448.75,1801.75
2025-01-01 19:00:00+00:00,4036.25,1350.0,3979.25,42674.5,12.5,127.0,,3209.5,2897.75,3586.0,404.25,1787.25
2025-01-01 20:00:00+00:00,3975.5,1355.5,3979.5,41421.25,11.25,127.75,,3195.25,3005.0,3563.5,556.25,1798.5
2025-01-01 21:00:00+00:00,3930.0,1351.5,3853.5,39663.25,10.0,128.25,,3192.0,3089.75,3531.0,560.75,1770.0
2025-01-01 22:00:00+00:00,3832.75,1347.75,4115.0,39612.25,9.75,128.75,,3186.25,3115.0,3526.75,487.5,1791.25
2025-01-01 23:00:00+00:00,3726.5,1400.25,4033.0,37737.5,8.5,129.25,,3441.0,3228.25,3563.5,693.0,1794.25
2025-01-02 00:00:00+00:00,3723.5,1349.5,4753.75,36230.75,6.5,129.75,,3844.0,2909.75,3346.5,451.0,1756.75
2025-01-02 01:00:00+00:00,3727.25,1349.5,5264.75,34086.0,6.0,129.0,,3941.25,2460.5,3390.75,411.25,1772.0
2025-01-02 02:00:00+00:00,3731.75,1357.75,5593.75,32543.75,6.5,127.75,,3999.5,2299.75,3488.75,423.25,1764.0
2025-01-02 03:00:00+00:00,3762.75,1409.0,4933.75,30886.25,6.0,126.25,,4464.75,2505.75,4083.5,148.0,1769.5
2025-01-02 04:00:00+00:00,3818.0,1383.25,4567.5,29820.0,6.0,124.75,,4668.75,2840.25,5120.25,178.75,1788.5
2025-01-02 05:00:00+00:00,3901.0,1387.25,5589.25,28246.0,6.25,125.0,,6380.25,3102.25,6210.0,203.5,1790.25
2025-01-02 06:00:00+00:00,4078.25,1400.75,5867.0,25102.25,8.25,124.0,,7933.75,3788.0,7606.0,305.0,1857.25
2025-01-02 07:00:00+00:00,4267.75,1410.25,5753.25,22035.5,191.5,121.0,,8889.0,4685.75,8599.75,1036.5,1869.75
2025-01-02 08:00:00+00:00,4317.5,1374.75,5976.25,18455.5,1609.0,120.0,,9359.5,4939.5,9233.5,934.5,1802.0
2025-01-02 09:00:00+00:00,4267.5,1407.0,5100.75,15182.0,4077.75,122.0,,9508.5,5127.25,10122.25,1126.75,1780.5
2025-01-02 10:00:00+00:00,4177.25,1357.75,5169.5,12916.0,6173.0,124.75,,9501.75,5194.25,10174.75,475.75,1779.75
2025-01-02 11:00:00+00:00,4061.0,1378.5,5390.25,11792.5,6704.75,124.0,,9447.75,5216.0,10159.0,220.5,1756.75
2025-01-02 12:00:00+00:00,4032.25,1434.5,5468.25,11863.75,5859.25,125.75,,9597.5,4907.75,10060.0,178.5,1760.5
2025-01-02 13:00:00+00:00,4111.5,1541.25,5120.5,11327.5,3569.25,126.5,,9493.75,4872.0,10082.75,866.25,1707.75
2025-01-02 14:00:00+00:00,4250.25,1579.5,5181.25,11582.0,1084.25,125.25,,9579.25,4878.5,10234.0,3801.5,1678.0
2025-01-02 15:00:00+00:00,4395.25,1648.5,5315.5,12834.5,53.0,126.25,,9626.5,4771.75,10444.75,3187.25,1707.25
2025-01-02 16:00:00+00:00,4500.25,1723.0,6058.75,14678.0,22.5,127.0,,9548.25,4774.25,10464.75,5922.25,1674.5
2025-01-02 17:00:00+00:00,4522.25,1769.5,5556.5,15957.75,25.75,128.0,,9594.5,4858.75,10894.0,5837.25,1704.75
2025-01-02 18:00:00+00:00,4450.25,1671.5,5842.75,17922.5,17.5,127.0,,9644.5,4791.75,11081.0,4846.5,1747.25
2025-01-02 19:00:00+00:00,4328.25,1447.0,5894.5,18922.0,8.0,126.75,,9671.75,4632.25,10892.25,2550.25,1782.25
2025-01-02 20:00:00+00:00,4152.75,1180.25,5907.0,18811.75,6.0,127.75,,9645.75,4489.25,9812.75,573.25,1783.0
2025-01-02 21:00:00+00:00,4042.0,1345.0,6626.75,18384.25,7.75,128.5,,9222.5,4777.75,9462.0,436.25,1803.5
2025-01-02 22:00:00+00:00,3924.5,1446.25,6322.5,18797.5,7.5,129.75,,8532.5,4502.75,8611.75,118.25,1767.75
2025-01-02 23:00:00+00:00,3824.5,1392.25,5972.5,19065.5,6.75,129.75,,8126.0,3851.0,8475.5,85.25,1784.5
2025-01-03 00:00:00+00:00,3806.0,1354.25,5959.5,19264.5,7.5,128.75,,8088.0,3556.0,8131.0,98.5,1751.0
2025-01-03 01:00:00+00:00,3784.0,1361.75,6201.75,20140.0,6.5,129.25,,8082.25,3820.25,8443.5,0.75,1723.0
2025-01-03 02:00:00+00:00,3738.25,1370.75,5839.25,20813.75,8.25,130.0,,7966.0,3871.0,8616.0,28.5,1706.5
2025-01-03 03:00:00+00:00,3751.25,1366.0,5211.75,23143.5,8.75,128.25,,7770.5,3954.5,8815.75,0.0,1734.5
2025-01-03 04:00:00+00:00,3803.25,1396.25,4292.75,25405.75,9.25,128.5,,7781.5,3973.0,9183.25,10.0,1727.5
2025-01-03 05:00:00+00:00,3933.0,1419.75,2881.75,29083.25,14.25,127.25,,7864.0,3930.75,9825.5,44.25,1718.0
2025-01-03 06:00:00+00:00,4093.0,1509.25,1656.5,31334.5,18.75,126.25,,7761.75,3977.0,9331.25,21.5,1711.0
2025-01-03 07:00:00+00:00,4199.75,1503.0,1603.75,33359.0,175.25,128.0,,7507.0,4429.5,9679.75,358.5,1710.75
2025-01-03 08:00:00+00:00,4184.0,1498.25,1980.5,33738.75,1603.25,128.5,,7417.5,4577.5,9771.0,251.5,1706.5
2025-01-03 09:00:00+00:00,4055.75,1565.0,1435.25,34718.25,4113.0,125.5,,7517.25,4820.5,9636.25,152.75,1717.75
2025-01-03 10:00:00+00:00,3996.5,1518.0,1114.25,36049.75,6249.25,125.25,,7502.25,4816.25,9698.25,49.5,1717.75
2025-01-03 11:00:00+00:00,3894.75,1453.75,920.75,35860.25,6560.0,127.0,,7125.75,4839.5,9502.0,24.25,1711.75
2025-01-03 12:00:00+00:00,3879.0,1456.5,1404.5,34970.0,5877.0,129.25,,6909.5,4744.0,9352.25,59.75,1715.25
2025-01-03 13:00:00+00:00,3936.0,1446.75,3350.25,33328.75,3943.5,132.25,,6863.75,4581.0,8661.0,62.75,1751.25
2025-01-03 14:00:00+00:00,4061.25,1503.25,4003.75,32051.75,1574.5,129.75,,7222.5,4793.0,9001.0,176.75,1745.0
2025-01-03 15:00:00+00:00,4293.5,1523.25,4767.5,30777.5,115.25,130.25,,8126.0,5059.0,9230.25,459.75,1713.5
2025-01-03 16:00:00+00:00,4428.5,1640.0,5221.5,29469.75,10.75,130.75,,8445.75,5203.25,9779.25,1882.5,1722.75
2025-01-03 17:00:00+00:00,4496.25,1736.0,5097.0,27871.75,13.25,132.75,,8522.0,5072.0,9829.25,2996.75,1733.0
2025-01-03 18:00:00+00:00,4445.75,1547.0,5996.0,27043.25,9.0,134.0,,9145.0,5053.5,9244.25,2150.25,1764.0
2025-01-03 19:00:00+00:00,4207.0,1465.0,6374.0,26291.0,7.25,134.0,,9566.5,5022.25,8689.75,913.75,1804.75
2025-01-03 20:00:00+00:00,4014.75,1401.25,5915.0,26423.25,7.25,134.25,,10226.5,5175.0,8098.75,143.75,1776.75
2025-01-03 21:00:00+00:00,3919.0,1436.25,5334.75,24820.25,8.5,135.0,,10330.75,5022.75,7690.0,286.75,1714.75
2025-01-03 22:00:00+00:00,3878.5,1441.5,4315.25,23694.75,8.5,133.75,,10840.25,4767.75,6765.5,858.75,1674.25
2025-01-03 23:00:00+00:00,3865.75,1391.25,3566.0,22633.0,8.25,133.25,,9860.0,4620.25,6131.5,293.75,1732.75
2025-01-04 00:00:00+00:00,3782.25,1422.75,3423.0,20824.0,7.25,133.75,,10373.0,4130.5,6111.25,194.25,1726.25
2025-01-04 01:00:00+00:00,3761.5,1450.5,2837.5,18148.75,7.25,133.75,,11070.25,3707.0,6056.25,338.0,1756.25
2025-01-04 02:00:00+00:00,3764.0,1438.75,2052.0,15726.5,7.0,132.25,,11256.0,3803.25,6111.0,316.75,1737.25
2025-01-04 03:00:00+00:00,3845.5,1405.5,1518.25,13777.5,6.75,131.0,,11421.0,4147.5,6316.5,314.75,1748.75
2025-01-04 04:00:00+00:00,3927.25,1396.5,1173.0,11251.75,6.5,131.75,,11630.5,4592.75,6594.25,256.0,1770.75
2025-01-04 05:00:00+00:00,4041.5,1455.25,1245.75,9974.5,8.25,130.5,,11870.25,5155.25,7234.25,264.25,1774.0
2025-01-04 06:00:00+00:00,4198.75,1467.5,1109.0,9179.25,8.25,130.25,,11913.0,5321.25,7698.75,368.75,1749.5
2025-01-04 07:00:00+00:00,4320.25,1563.75,1636.75,8432.0,295.0,136.0,,11933.25,5374.0,8490.0,1406.25,1765.25
2025-01-04 08:00:00+00:00,4333.5,1561.25,2569.5,7564.0,1954.0,136.75,,11967.75,5375.25,8836.25,1593.0,1787.5
2025-01-04 09:00:00+00:00,4337.0,1584.5,2444.0,7336.5,4070.0,136.75,,12179.5,5355.5,8848.75,1321.0,1774.75
2025-01-04 10:00:00+00:00,4231.25,1508.25,3158.0,7405.0,5438.25,136.0,,12190.5,5226.5,8842.75,765.75,1789.25
2025-01-04 11:00:00+00:00,4158.5,1547.75,2453.75,7203.25,5847.25,136.0,,12292.25,5208.25,8896.0,226.0,1774.5
2025-01-04 12:00:00+00:00,4131.0,1495.25,2827.0,7335.0,5117.0,137.0,,12291.0,5202.5,9272.5,1050.75,1778.5
2025-01-04 13:00:00+00:00,4168.25,1534.25,2545.75,7530.25,3417.5,136.5,,12290.75,5141.25,9730.75,1420.5,1795.75
2025-01-04 14:00:00+00:00,4332.5,1563.75,2781.5,7402.5,1193.25,135.25,,12314.25,5184.25,10105.5,3526.75,1760.0
2025-01-04 15:00:00+00:00,4534.75,1684.5,2774.75,8303.25,74.0,134.25,,12316.25,5237.75,10211.0,4868.75,1764.5
2025-01-04 16:00:00+00:00,4597.75,1781.75,2643.25,8971.5,14.75,135.25,,12306.5,5383.25,10390.5,6096.5,1781.75
2025-01-04 17:00:00+00:00,4594.0,1772.75,2475.75,9753.5,11.75,136.0,,12323.25,5425.75,10297.0,4663.75,1770.25
