Raumeinheit,Code,Year,clinker_proxy_kg_per_year,plant_capacity_million_tonnes,weight
Soest,DEA5B,2022,1884912.345679012,,0.09939530005059673
Märkisch-Oderland,DE409,2022,1419503.703703704,,0.07485334629804057
Eichsfeld,DEG06,2022,1287696.296296296,,0.067902870941357
Steinfurt,DEA37,2022,1284360.49382716,,0.06772696722461953
Steinburg,DEF0E,2022,1187096.296296296,,0.06259802628478069
Schwandorf,DE239,2022,1051704.938271605,,0.05545856184975194
Burgenlandkreis,DEE08,2022,1045112.345679012,,0.055110920899574985
Warendorf,DEA38,2022,974795.061728395,,0.05140294606825899
Salzlandkreis,DEE0C,2022,950188.8888888889,,0.05010541202743943
Donnersbergkreis,DEB3D,2022,885385.1851851852,,0.046688179608762016
Alb-Donau-Kreis,DE145,2022,844860.4938271604,,0.044551229385998384
Rosenheim,DE21K,2022,793897.5308641975,,0.041863847658787944
Zollernalbkreis,DE143,2022,786513.5802469136,,0.04147447677432947
Main-Spessart,DE26A,2022,757112.3456790122,,0.03992408927836249
Heidenheim,DE11C,2022,642500.0,,0.03388034484940637
Donau-Ries,DE27D,2022,642411.1111111111,,0.033875657555696125
Karlsruhe,DE123,2022,580976.5432098765,,0.030636086588897524
Region Hannover,DE929,2022,531638.2716049382,,0.028034378174502217
Weißenburg-Gunzenhausen,DE25C,2022,363922.2222222222,,0.019190366361480447
Paderborn,DEA47,2022,254738.2716049383,,0.01343287235535728
"Wiesbaden, Landeshauptstadt",DE714,2022,241322.2222222222,,0.012725416511617068
Vulkaneifel,DEB24,2022,210108.6419753086,,0.011079460305002202
Rhein-Neckar-Kreis,DE128,2022,188638.2716049383,,0.00994728357007205
Fulda,DE732,2022,154402.4691358025,,0.008141959377308657
